"sku";"post_title";"post_content";"post_excerpt";"category";"tags";"post_status";"visibility";"manage_stock";"stock_status";"backorders";"stock";"regular_price";"sale_price";"weight";"length";"width";"height";"tax_status";"tax_class";"featured";"featured_image";"product_gallery";"shipping_class";"comment_status";"ping_status";"menu_order"
"M535";"Martin M535 Traditional Phosphor Bronze Acoustic Guitar Strings";"Martin M535 Traditional Phosphor Bronze Acoustic Guitar Custom Light 11-52, .011 .015 .023 .032 .042 .052";;"Guitar Strings->Martin";"acoustic guitar strings";"publish";"visible";"no";"instock";"yes";1;550;500;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/04/M535_mini.jpg";;;"open";"open";1
"MFX775";"Martin MFX775 Custom Light Phosphor Bronze Acoustic Guitar Strings";"Martin MFX775 Custom Light Phosphor Bronze Acoustic Guitar Strings, Gauge: .011 .015 .023 .032 .042 .052";;"Guitar Strings->Martin";"acoustic guitar strings";"publish";"visible";"no";"instock";"yes";1;700;600;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/04/MFX775_mini.jpg";;;"open";"open";2
"M120";"Martin M120 Classical Silverplated High Tension Guitar Strings";"Martin M120 Classical Silverplated High Tension Guitar Strings, M120 - 28, 32, 40, 30, 35, 43.";;"Guitar Strings->Martin";"acoustic guitar strings";"publish";"visible";"no";"instock";"yes";1;600;520;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/04/M120_mini.jpg";;;"open";"open";3
"MFX740";"Martin MFX740 92/8 Phosphor Bronze Acoustic Guitar Strings";"Martin MFX740 92/8 Phosphor Bronze Acoustic Guitar Strings 92/8 Phosphor Bronze, 012-016-025-032-042-054";;"Guitar Strings->Martin";"acoustic guitar strings";"publish";"visible";"no";"instock";"yes";1;700;600;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/04/MFX740_mini.jpg";;;"open";"open";4
"MSP4050";"Martin Guitars MSP4050 Custom Light Acoustic Guitar Strings";"Martin Guitars MSP4050 Custom Light Acoustic Guitar Strings - phosphor bronze. Gauges 011-052.";;"Guitar Strings->Martin";"acoustic guitar strings";"publish";"visible";"no";"instock";"yes";1;700;600;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/04/MSP4050_mini.jpg";;;"open";"open";5
