"sku";"post_title";"post_content";"post_excerpt";"category";"tags";"post_status";"visibility";"manage_stock";"stock_status";"backorders";"stock";"regular_price";"sale_price";"weight";"length";"width";"height";"tax_status";"tax_class";"featured";"featured_image";"product_gallery";"shipping_class";"comment_status";"ping_status";"menu_order"
"F-50";"Yamaha Keyboard F-50 with Adaptor PA 3C";;;"Keyboard->Yamaha";"Keyboard,Yamaha";"publish";"visible";"no";"instock";"yes";1;6590;5931;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/F_50_mini.jpg";;;"open";"open";1
"PSR 253";"Yamaha Keyboard PSR 253 with Adaptor PA 3C";;;"Keyboard->Yamaha";"Keyboard,Yamaha";"publish";"visible";"no";"instock";"yes";1;8590;7731;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/PSR_253_mini.jpg";;;"open";"open";1
"PSR 353";"Yamaha Keyboard PSR 353 with Adaptor PA 3C";;;"Keyboard->Yamaha";"Keyboard,Yamaha";"publish";"visible";"no";"instock";"yes";1;11490;10341;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/PSR_353_mini.jpg";;;"open";"open";1
"PSR I-425";"Yamaha Keyboard PSR I-425 with Adaptor PA 3C";;;"Keyboard->Yamaha";"Keyboard,Yamaha";"publish";"visible";"no";"instock";"yes";1;17000;15300;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/PSR_I_425_mini.jpg";;;"open";"open";1
"PSR I-455";"Yamaha Keyboard PSR I-455 with Adaptor PA 150";;;"Keyboard->Yamaha";"Keyboard,Yamaha";"publish";"visible";"no";"instock";"yes";1;23000;20700;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/PSR_i_455_mini.jpg";;;"open";"open";1
