"sku";"post_title";"post_content";"post_excerpt";"category";"tags";"post_status";"visibility";"manage_stock";"stock_status";"backorders";"stock";"regular_price";"sale_price";"weight";"length";"width";"height";"tax_status";"tax_class";"featured";"featured_image";"product_gallery";"shipping_class";"comment_status";"ping_status";"menu_order"
"CTK 860 IN";"Casio Keyboard CTK 860 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;12000;10200;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_860IN_mini.jpg";;;"open";"open";1
"CTK 6300 IN";"Casio Keyboard CTK 6300 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;15000;12750;;;;;"none";;"yes";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_6300IN_mini.jpg";;;"open";"open";1
"CTK 7300 IN";"Casio Keyboard CTK 7300 IN with Adaptor in the Box";;;"Keyboard->Casio";"Keyboard,Casio";"publish";"visible";"no";"instock";"yes";1;22000;18700;;;;;"none";;"no";"http://dagnamusic.com/wp-content/uploads/2016/06/CTK_7300IN_mini.jpg";;;"open";"open";1
