sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,gallery,gift_message_available,gr_ean,gr_valid_through,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
CTK-810IN,,Default,simple,,"Default Category",base,,,,"2014-04-15 08:15:18",,,,,"61 keys Piano-style keyboard <br \>
Touch Response: 2 sensitivity levels, Off <br \>
HL Sound Source <br \>
32 maximum polyphony <br \>
515 built-in tones including15 Indian tones <br \>
120 built-in rhythms including 7 Indian rhythms <br \>
Auto Accompaniment Modes: CASIO Chord, Fingered, Full Range Chord <br \>
Controllers: Start/Stop, Intro, Normal/Fill-in, Variation/Fill-in, Synchro/Ending <br \>
Built-in Songs: 100 (Song Bank) <br \>
Song Expansion: 5 (up to 320KB) <br \>
Step Up Lesson System <br \>
Metronome Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 30 to 255) <br \>
Recorder: 2 tracks x 1 song (performance recording), 1 song (lesson recording), 5200 notes total, real-time recording/playback <br \>
Registrations: 32 setups (4 sets x 8 banks) <br \>
Pitch bend wheel: 24 semitones upwards and downwards  <br \>
Key Transpose: 25 steps (-12 to +12 semitones) <br \>
Tuning Control: A4 = approx 440 Hz ± 100 cents <br \>
Pedals: Standard jack (sustain, soft, sostenuto, start/stop) <br \>
LCD Display <br \>
SD Memory Card Slot <br \>
MIDI: Level 1 GM Compatibility, USB Terminal <br \>
Power: DC 9.5V ( AA size batteries x 6) <br \>
Amplifier: 2.5W + 2.5W <br \>
Speakers: 12cm X 2 <br \>
Power Consumption: 7.7W <br \>
Dimension: 945 x 373 x 131 mm <br \>
Weight: 4.8 kg <br \>
Included Accessories: Music stand, Music book, AC Adaptor <br \>",No,,,4971850313441,,0,/C/T/CTK-810IN_s.jpg,,,,"Casio Keyboard CTK-810IN with AC Adaptor, Buy Online Free Delivery CoD India, 61 keys Piano-style keyboard, HL sound source, 32 max polyphony, 515 built-in tones, 120 built-in rhythms, Step-up lesson system",,"Casio Keyboard CTK-810IN with AC Adaptor Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Keyboard CTK-810IN",,,"Block after Info Column",,12500.0000,0,"61 keys Piano-style keyboard, HL sound source, 32 max polyphony, 515 built-in tones, 120 built-in rhythms, Step-up lesson system",/C/T/CTK-810IN_P.jpg,,,,,1,2,/C/T/CTK-810IN_P.jpg,,"2014-09-01 13:34:03",casio-keyboard-ctk-810in,casio-keyboard-ctk-810in,4,4.8000,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,CTK-850IN,0,,,,,,,,,,,88,/c/t/ctk-810in_p.jpg,,1,0
,,,,Keyboard/Casio,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTK-6300IN,0,,,,,,,,,,,88,/c/t/ctk-810in_s.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTK-7300IN,0,,,,,,,,,,,88,/C/T/CTK-810IN_s.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/C/T/CTK-810IN_P.jpg,,4,0
AP-450BK/BN,,Default,simple,,"Default Category",base,,,,"2014-04-15 07:45:18",,,,,"Unprecedented Natural Reproduction of the Rich Expressive Power and Resonance of an Acoustic Piano <br \>

88-key, Tri-sensor Scaled Hammer Action Keyboard II, Simulated ebony and ivory keys <br \>
Touch Response: 3 sensitivity levels, Off <br \>
Sound Source: Multi-dimensional Morphing AiR <br \>
Maximum Polyphony: 256 <br \>
Tones: 18 built-in tones: Grand Piano (Concert, Modern, Classic, Mellow, Bright), Elec Piano, FM E. Piano, 60's E. Piano, Harpsichord, Vibraphone, Strings 1, Strings 2, Pipe Organ, Jazz Organ, Elec Organ 1, Elec Organ 2, Bass 1, Bass 2 <br \>
Layer/Split: Layer(Excluding bass tones), Split(Low-range bass tones only) <br \>
Digital Effects: Reverb (4 types), chorus (4 types), brilliance(-3 ~ 0 ~ 3), DSP (built into some tones) <br \>
Built-in Songs: 60 (Music Library) songs <br \>
Song Expansion: 10 songs (max.) Up to approxmately 90 KB/song <br \>
Lesson Function: Part on/off (Lesson part: right hand/left hand) <br \>
Metronome Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 20 to 255) <br \>
Auto Accompaniment Modes: CASIO Chord, Fingered 1, Fingered 2 (6th off), Fingered 3 (on bass), Full Range Chord <br \>
Controllers: Start/Stop, Intro, Normal/Fill-in, Variation/Fill-in, Synchro/Ending <br \>
Recorder: [MIDI] 2 tracks x 1 song, approximately 5,000 notes maximum per song, real-time recording/playback, punch-in/punch-out recording support <br \>
[Audio Recording] 44.1 kHz WAV Format / up to approximately 25 min. per song <br \>
Grand piano button x 2 (Concert, Modern), ELEC PIANO button <br \>
Duet function <br \>
Octave shift: ±2 octaves <br \>
Panel lock <br \>
Slide-type keyboard cover <br \>

Key Transpose: 2 octaves (-12 to +12 semitones) <br \>
Tuning Control: A4 = 415.5 Hz ~ 440.0 Hz ~ 465.9 Hz <br \>
Pedals: 3 pedals (damper, soft, sostenuto) <br \>
Display Screen: Full-dot LCD with backlight <br \>
MIDI: No MIDI terminals. MIDI communication between the product and a computer is performed using the USB port <br \>
Speakers: 16cm x 2 + 5cm x 2 (2-way 4 speakers) <br \>
Amp Output: 20W＋20W <br \>
Input/Output Terminals: Headphones (standard stereo jack) x 2, LINE OUT (L/MONO, R), LINE IN (L/MONO, R), USB: type A, type B, MIDI IN/OUT <br \>
Dimensions (W x D x H): 1,377 x 427 x 840 mm  <br \>
Weight: 40.5 kg <br \>
AP-450BK: Black wood tone finish <br \>
AP-450WE: White wood tone finish <br \>
AP-450BN: Oak tone finish <br \>
Included Accessories: Adjustable-height piano bench, AC adaptor (AD-E24250LW), score book, music stand, headphone hook <br \>",No,,,4971850361855,,0,/A/P/AP-450_mainImage.jpg,,,,"Casio AP-450BK/BN Celviano Digital Piano Buy Online Free Delivery CoD India, 88 Note Scaled Hammer Action Keyboard, AiR Sound Source, Ebony and Ivory textured keys
",,"Casio AP-450BK/BN Celviano Digital Piano Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Digital Piano AP-450BK/BN",,,"Block after Info Column",,80000.0000,0,"88 Note Scaled Hammer Action Keyboard
AiR Sound Source
Ebony and Ivory textured keys
",/a/p/ap-450_thumb01_1_1.jpg,,,,,1,2,/a/p/ap-450_thumb01_1_1.jpg,,"2014-09-01 13:31:25",casio-digital-piano-ap-450bk-bn,casio-digital-piano-ap-450bk-bn,4,50.2000,9.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,AP-650MBK,0,,,,,,,,,,,88,/a/p/ap-450_thumb01_1.jpg,,1,0
,,,,"Digital Piano","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/a/p/ap-450_mainimage_1.jpg,,2,0
,,,,"Digital Piano/Casio","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/A/P/AP-450_mainImage.jpg,,3,0
,,,,"Digital Piano/Casio/Celviano","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/a/p/ap-450_thumb01_1_1.jpg,,4,0
AP-250BK/BN,,Default,simple,,"Default Category",base,,,,"2014-04-15 07:15:18",,,,,"Unprecedented Natural Reproduction of the Rich Expressive Power and Resonance of an Acoustic Piano <br \>

88-key, Tri-sensor Scaled Hammer Action Keyboard II, Simulated ebony and ivory keys <br \>
Touch Response: 3 sensitivity levels, Off <br \>
Sound Source: Multi-dimensional Morphing AiR <br \>
Maximum Polyphony: 128 <br \>
Tones: 18 built-in tones: Grand Piano (Concert, Modern, Classic, Mellow, Bright), Elec Piano, FM E. Piano, 60's E. Piano, Harpsichord, Vibraphone, Strings 1, Strings 2, Pipe Organ, Jazz Organ, Elec Organ 1, Elec Organ 2, Bass 1, Bass 2 <br \>
Layer/Split: Layer(Excluding bass tones), Split(Low-range bass tones only) <br \>
Digital Effects: Reverb (4 types), chorus (4 types), brilliance(-3 ~ 0 ~ 3), DSP (built into some tones) <br \>
Built-in Songs: 60 (Music Library) songs <br \>
Song Expansion: 1 song (65KB maximum) <br \>
Lesson Function: Part on/off (Lesson part: right hand/left hand) <br \>
Metronome Beats: 0, 2, 3, 4, 5, 6 (Tempo range: quarter note = 20 to 255) <br \>
Auto Accompaniment Modes: CASIO Chord, Fingered 1, Fingered 2 (6th off), Fingered 3 (on bass), Full Range Chord <br \>
Controllers: Start/Stop, Intro, Normal/Fill-in, Variation/Fill-in, Synchro/Ending <br \>
Recorder: 2 tracks x 1 song, approximately 5,000 notes maximum, real-time recording/playback <br \>
Grand piano button x 2 (Concert, Modern), ELEC PIANO button
Duet function
Temperaments (preset scale): Equal + 16 other types
Auto Power Off: Off after approx. 4 idle hours (default setting)
Octave shift: ±2 octaves
Panel lock
Slide-type keyboard cover
Key Transpose: 2 octaves (-12 to +12 semitones) <br \>
Tuning Control: A4 = 415.5 Hz ~ 440.0 Hz ~ 465.9 Hz <br \>
Pedals: 3 pedals (damper, soft, sostenuto) <br \>
Display Screen: Full-dot LCD with backlight <br \>
MIDI: No MIDI terminals. MIDI communication between the product and a computer is performed using the USB port <br \>
Speakers: 12cm x 2 <br \>
Amp Output: 8W＋8W <br \>
Input/Output Terminals: Headphones (standard stereo jack) x 2, LINE OUT (L/MONO, R), LINE IN (L/MONO, R), USB: type A, type B, MIDI IN/OUT <br \>
Dimensions (W x D x H): 1,377 x 432 x 840mm   <br \>
Weight: 39.5 kg <br \>
AP-250BK: Black wood tone finish <br \>
AP-250BN: Oak tone finish <br \>
Included Accessories: Piano bench, AC adaptor (AD-A12150LW), score book, music stand <br \>",No,,,4971850361831,,0,/A/P/AP-250_mainImage.jpg,,,,"Casio AP-250BK/BN Celviano Digital Piano Buy Online Free Delivery CoD India, 88 Note Scaled Hammer Action Keyboard, AiR Sound Source, Ebony and Ivory Feel Keys
",,"Casio AP-250BK/BN Celviano Digital Piano Buy Online Free Delivery CoD India",,,"Use config","Use config","Casio Digital Piano AP-250BK/BN",,,"Block after Info Column",,65000.0000,0,"88 Note Scaled Hammer Action Keyboard
AiR Sound Source
Ebony and Ivory Feel Keys",/a/p/ap-250_thumb01_1.jpg,,,,,1,2,/a/p/ap-250_thumb01_1.jpg,,"2014-09-01 13:29:42",casio-digital-piano-ap-250bk-bn,casio-digital-piano-ap-250bk-bn,4,50.2000,9.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,1.0000,1,0,1,0,1,0.0000,1,0,0,,,,,AP-650MBK,0,,,,,,,,,,,88,/a/p/ap-250_thumb01.jpg,,1,0
,,,,"Digital Piano","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP-450BK/BN,0,,,,,,,,,,,88,/a/p/ap-250_mainimage.jpg,,2,0
