sku;post_title;post_content;post_excerpt;category;tags;post_status;visibility;manage_stock;stock_status;backorders;stock;regular_price;sale_price;weight;length;width;height;tax_status;tax_class;featured;featured_image;product_gallery;shipping_class;comment_status;ping_status;menu_order
EJ27N;Daddario EJ27N;Daddario EJ27N-1/2 String Set for Classical Guitar, 1/2 Size, Medium Tension, Nylon, Gauges 029 - thomann 034 - 045 - 031 - 036 - 045;Daddario EJ27N-1/2 String Set for Classical Guitar, 1/2 Size, Medium Tension, Nylon, Gauges 029 - thomann 034 - 045 - 031 - 036 - 045;Guitar Strings->D'Addario;classical guitar strings,nylon strings;publish;visible;no;instock;yes;1;340;310;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/EJ_27N_mini.jpg;;;open;open;2
EZ910;Daddario EZ910;D'Addario EZ910 – 85/15 bronze strings set for acoustic guitar, roundwound, balanced tone. Gauges: 011-015-w024-w032-w042-w052.;D'Addario EZ910 – 85/15 bronze strings set for acoustic guitar, roundwound, balanced tone. Gauges: 011-015-w024-w032-w042-w052.;Guitar Strings->D'Addario;acoustic guitar strings,bronze strings;publish;visible;no;instock;yes;1;340;310;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/EZ910_mini.jpg;;;open;open;3
EXL125;Daddario EXL 125;Daddario EXL125 electric guitar strings - nickel plated steel for brilliant clear sound. Gauges: 009-011-016-w026-w036-w046.;Daddario EXL125 electric guitar strings - nickel plated steel for brilliant clear sound. Gauges: 009-011-016-w026-w036-w046.;Guitar Strings->D'Addario;electric guitar strings,nickel-plated steel strings;publish;visible;no;instock;yes;1;340;310;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/EXL_125_mini.jpg;;;open;open;4
EXL110;Daddario EXL 110;D'Addario EXL110 electric guitar strings - nickel plated steel, brilliant and clear sound (010-013-017-w026-w036-w046);D'Addario EXL110 electric guitar strings - nickel plated steel, brilliant and clear sound (010-013-017-w026-w036-w046);Guitar Strings->D'Addario;electric guitar strings,nickel-plated steel strings;publish;visible;no;instock;yes;1;340;310;;;;;none;;yes;http://dagnamusic.com/wp-content/uploads/2016/03/EXL_110_mini.jpg;;;open;open;5
